Latitude,Longitude,RSSI
51.004200,-1.251300,-99
50.929800,-1.294100,-84
50.963800,-1.295000,-85
50.986200,-1.291900,-98
50.970000,-1.360400,-100
50.970000,-1.338800,-87
50.990300,-1.279100,-93
50.858500,-1.090700,-97
50.962400,-1.305400,-82
51.002000,-1.392500,-98
50.915000,-1.315400,-87
50.935000,-1.209100,-99
50.928100,-1.295700,-100
50.926700,-1.275000,-95
50.924300,-1.278200,-92
51.057500,-1.341400,-94
50.965800,-1.312000,-83
50.990400,-1.325300,-99
50.969900,-1.256300,-87
50.950900,-1.259700,-86
50.967300,-1.331700,-92
50.991100,-1.319600,-95
50.987400,-1.344500,-96
50.926400,-1.322100,-85
50.916500,-1.347000,-99
50.958200,-1.250700,-94
50.928000,-1.327900,-82
50.969700,-1.250200,-93
50.929000,-1.281300,-81
50.924400,-1.336300,-90
50.964000,-1.360800,-94
50.927400,-1.352100,-100
50.966200,-1.311900,-81
50.928700,-1.294600,-93
50.946400,-1.221800,-100
50.938700,-1.270200,-89
50.961400,-1.367700,-98
50.926600,-1.354800,-96
50.915200,-1.328600,-94
50.925500,-1.278900,-97
50.971100,-1.350700,-92
50.948600,-1.371600,-91
50.966500,-1.312600,-82
50.914200,-1.340200,-100
50.940400,-1.255000,-87
50.965800,-1.312400,-84
50.978000,-1.264900,-94
50.913600,-1.260600,-100
50.960500,-1.257900,-93
50.875100,-1.252700,-100
50.931900,-1.220800,-95
50.941500,-1.253600,-89
50.935300,-1.306300,-80
50.950600,-1.404400,-95
50.996200,-1.312600,-100
51.006200,-1.271600,-97
50.979800,-1.304700,-97
50.928600,-1.352800,-91
50.927200,-1.342400,-90
50.927200,-1.326800,-80
50.912600,-1.296100,-96
50.959500,-1.398100,-93
50.912700,-1.258000,-96
50.960000,-1.354900,-87
50.917100,-1.322000,-83
50.940200,-1.268200,-90
50.966600,-1.323100,-86
50.972500,-1.260800,-99
50.919900,-1.335800,-88
50.988900,-1.208100,-94
51.038700,-1.220400,-95
50.986200,-1.219400,-94
50.976200,-1.250500,-96
50.989700,-1.325400,-87
50.937400,-1.306200,-84
50.969200,-1.261200,-95
50.970100,-1.349400,-86
50.977700,-1.264700,-98
50.927300,-1.234600,-97
50.970100,-1.347400,-92
50.989600,-1.301200,-100
50.990400,-1.276600,-90
50.915800,-1.353900,-99
50.924900,-1.277200,-100
50.979500,-1.244200,-96
50.910100,-1.305200,-100
51.000600,-1.243000,-94
50.973600,-1.388800,-99
50.966900,-1.330300,-85
50.968000,-1.298100,-87
50.982400,-1.273000,-96
50.996100,-1.318800,-99
50.974800,-1.350200,-100
51.043100,-1.232000,-88
50.915200,-1.326300,-92
50.920300,-1.285100,-95
51.001700,-1.392400,-99
50.965500,-1.290300,-80
50.962100,-1.305700,-85
50.966100,-1.297800,-87
50.968600,-1.257200,-97
51.015500,-1.279300,-93
50.965900,-1.288300,-81
50.970500,-1.187200,-97
50.969000,-1.261400,-94
50.961100,-1.391600,-84
50.933100,-1.347300,-91
50.982300,-1.235500,-99
50.962400,-1.236100,-100
50.995200,-1.273300,-99
51.002700,-1.149900,-88
50.919700,-1.253300,-94
50.966400,-1.312500,-86
50.992500,-1.353600,-91
50.980600,-1.154300,-95
50.988600,-1.210700,-93
50.963800,-1.301900,-81
50.923800,-1.307700,-98
50.923000,-1.304900,-98
50.976300,-1.263400,-100
50.990600,-1.351400,-93
50.943000,-1.327800,-90
50.914500,-1.327500,-94
50.940800,-1.330800,-86
50.929900,-1.353800,-86
50.966200,-1.286900,-81
50.989300,-1.350400,-93
50.985700,-1.305600,-100
50.946900,-1.251200,-90
50.969900,-1.358900,-97
50.912300,-1.256800,-100
50.999100,-1.355000,-90
50.956000,-1.358500,-83
50.988500,-1.345900,-91
50.980800,-1.230300,-98
50.916700,-1.330100,-97
50.970800,-1.352300,-96
50.913400,-1.315300,-89
50.897000,-1.261400,-97
50.961000,-1.359800,-89
50.950100,-1.371700,-88
50.918300,-1.295400,-98
50.974100,-1.268900,-91
50.969900,-1.360000,-100
50.966300,-1.327600,-81
51.044000,-1.235000,-88
50.942100,-1.406500,-99
50.928800,-1.342200,-99
50.972400,-1.255300,-100
50.924700,-1.257600,-95
50.946300,-1.251200,-90
50.968300,-1.230000,-93
50.970200,-1.345700,-95
50.970200,-1.344700,-85
50.961900,-1.266700,-83
50.960300,-1.285700,-84
50.946900,-1.405400,-92
51.016300,-1.274300,-98
50.902700,-1.309300,-99
50.962000,-1.267400,-88
50.983100,-1.276100,-98
50.988000,-1.342500,-94
50.993000,-1.271100,-97
50.988700,-1.210300,-100
50.970400,-1.355700,-98
50.928700,-1.352900,-91
50.936800,-1.277500,-86
50.969300,-1.335700,-98
50.964500,-1.313900,-86
50.965400,-1.255000,-95
50.979400,-1.304400,-95
50.927400,-1.329800,-86
50.967700,-1.229500,-98
50.975400,-1.302600,-84
50.968200,-1.361700,-97
50.924600,-1.278200,-97
50.939300,-1.268900,-93
50.961200,-1.407200,-99
50.925800,-1.275600,-100
50.991100,-1.320700,-100
50.934400,-1.349000,-100
50.891700,-1.215000,-93
50.953200,-1.248700,-87
50.988300,-1.387500,-99
50.973400,-1.376600,-100
50.963300,-1.302700,-88
50.978400,-1.349400,-93
50.965300,-1.314100,-85
50.945100,-1.266100,-89
50.983300,-1.229100,-98
50.909800,-1.250500,-97
51.040600,-1.225900,-91
50.973300,-1.374300,-99
50.950600,-1.101200,-99
50.984300,-1.234200,-92
50.992300,-1.319700,-98
50.969000,-1.299200,-90
50.924300,-1.337400,-90
50.915400,-1.326000,-89
50.991800,-1.209300,-97
50.932900,-1.283800,-80
50.965300,-1.383800,-90
50.964800,-1.264900,-92
50.969600,-1.250000,-93
50.904300,-1.209600,-90
50.972800,-1.254000,-98
50.936700,-1.378800,-99
50.943600,-1.264700,-88
50.986100,-1.292500,-95
50.921300,-1.283500,-87
50.991700,-1.318400,-95
50.927900,-1.265000,-94
50.933000,-1.215400,-88
50.942800,-1.328000,-86
50.918700,-1.314600,-93
50.959700,-1.394600,-82
50.936900,-1.251400,-91
50.983600,-1.351100,-91
50.947400,-1.372200,-90
50.963200,-1.303000,-83
50.925900,-1.334400,-85
50.977300,-1.248900,-92
50.928700,-1.279900,-83
